termo,coeficiente
de tossir,-0.19392182114483483
de transpiracao,-0.24833019149235813
de uma,0.5312989609962389
de usar,0.3053201495143546
dedo,0.6440635788544692
dedo deixou,0.18449782545661916
dedo ficou,0.1748458228097258
dedo numa,0.1746806758194727
dedos,-0.44636406645275295
dedos estao,-0.19827707959479984
dedos ficaram,-0.2826016037134358
deformidade,0.1746806758194727
deitado,-0.24116811954976178
deitado acordei,-0.24116811954976178
deitar,-0.23425008484531898
deixa,-0.2537232497063426
deixa eu,-0.2537232497063426
deixou,0.6184182659139786
deixou desconforto,0.18449782545661916
deixou meu,0.16155597046518577
deixou nuca,0.21378924744477587
deixou uma,0.17830126022665355
depois,1.4962701105117486
depois da,0.325018005734786
depois das,-0.3250428043201703
depois de,1.1384842373776296
depois do,0.6729248296730757
desacordado,-0.3074670950961361
desacordado apos,-0.3074670950961361
descamacao,0.14348142136533723
descamacao pequena,0.14348142136533723
descansar,0.058884466598821156
descansar nao,-0.28053662791142386
descansar vista,0.14830755998664152
descansava,-0.18457847243685765
descansava continua,-0.18457847243685765
descansei,0.21043307852024745
descansei me,0.21043307852024745
descanso,0.23577272674863908
descanso resolveu,0.23577272674863908
descascando,0.14075945925008204
descascando um,0.14075945925008204
desconforto,-0.23095608482810898
desconforto leve,-0.24833019149235813
desconforto pequeno,-0.19942502438264345
desconforto que,0.18449782545661916
desde,-0.39916066585622795
desde agora,-0.23673963064661957
desde cedo,-0.19328570035904935
desmaiando,-0.37333544237062266
desmaiando com,-0.20946171242885497
desmaiando sinto,0.214592720518704
desmaiar,-0.26603147105367764
desmaiei,-0.3886671445360535
desmaiei durante,-0.26683074421917646
desmaiei mas,-0.15188966532224074
desorientado,-0.35868491342159287
dia,0.22945485704403532
diabetes,-0.09178198247256625
diabetes comecei,-0.21046522546636048
diabetes hoje,-0.041826253185409
diabetes mas,0.1459746351973535
diabetico,-0.08665793124183553
diabetico comecei,-0.21523252253814226
diabetico estou,0.15343229989970927
diabetico surgiram,-0.27108957776517106
diabetico unico,0.22945485704403532
dificil,-1.0643376377639342
dificil em,-0.24239998958077758
dificil puxar,-0.19478796407407056
dificil respirar,-0.2272486605327722
dificil suor,-0.128133510852847
dificil tosse,-0.21076453404919443
dificuldade,0.13242102184688753
dificuldade agora,-0.20199648651891705
dificuldade cada,-0.16638101766950175
dificuldade para,0.6271262785322552
dificuldade porem,-0.1839219744763936
dificuldade pra,0.2152161567069186
dificuldade respiratoria,0.23585668312315555
dificuldade subita,-0.20872432446255662
digitar,0.1637790678039652
digitar por,0.1637790678039652
diminuindo,0.30092737078159354
diminuindo respiro,0.14951557721421377
diminuindo sem,0.1746806758194727
direito,-0.4007692910086238
direito nem,-0.23673963064661957
discreta,0.4202958525782688
discreta na,0.2319608168531226
discreta no,0.2016356319251319
discreta onde,0.20812760475517836
discreta porem,-0.140058746241774
dispara,-0.45934328917716005
dispara parece,-0.26603147105367764
dispara sinto,-0.22883003928559062
disparado,-0.21703530652544412
disparado ha,-0.21703530652544412
disparar,0.2016356319251319
disparar so,0.2016356319251319
dizer,-0.24976899792446497
dizer meu,-0.24976899792446497
do,0.5347548442432699
do almoco,0.13263862332794304
do cansaco,0.21043307852024745
do coracao,-0.22568302762127634
do corpo,-0.2556248953544215
do cotovelo,0.14075945925008204
do exercicio,0.27785658333356267
do nada,-0.39890174015027285
do ombro,0.18440013775041214
do peito,0.2660355387887216
do ritmo,-0.24577038593912168
do rosto,-0.25771016239507105
do sabao,0.16230679590260572
do sapato,0.3767446980779117
do torax,0.3007372997763952
do treino,0.1993490618600855
doi,-0.246866349811033
doi cada,-0.23217923176204278
doi junto,-0.2231176754682225
doi mas,-0.16809750300472992
doi mesmo,-0.210146325819729
doi muito,-0.24577038593912168
doi nao,0.27872347326548774
doi no,-0.16638101766950175
doi pele,0.17742366734159395
doi torax,0.19962015894628887
doi unica,0.23636525937281683
dois,-0.15770973242971176
dois bracos,-0.15770973242971176
dolorida,0.1993490618600855
dolorida depois,0.1993490618600855
dolorido,0.1570232309650981
dolorido apos,0.1570232309650981
dor,-0.9323199820970187
dor como,-0.21106627632445463
dor discreta,-0.140058746241774
dor forte,-0.30400716324357296
dor interna,0.2660355387887216
dor muscular,0.3231021282171941
dor nem,0.18699013056444697
dor no,-0.5688842137882791
dor ou,0.14348142136533723
dor parece,-0.40188229002080733
dor subita,-0.19068352284719678
dor toracica,-0.28695314401793964
dor vai,-0.23209715139812281
dormi,0.2369486443246133
dormi tarde,0.2369486443246133
dormindo,-0.12080568679674024
dormindo quando,-0.12080568679674024
dormir,0.23128865952897415
dormir pouco,0.23128865952897415
dos,-0.44196129846615434
dos dedos,-0.2826016037134358
dos pes,-0.1935338723533824
durante,-0.28101189275313254
durante apresentacao,0.27690968302695546
durante banho,-0.2094869894728774
durante caminhada,-0.26683074421917646
durante essa,-0.13692980001113778
durante exercicio,0.1689206577341526
durante noite,-0.19366916139789633
duvida,0.13549197618302844
duvida era,0.13549197618302844
em,-0.6350933065539746
em falta,0.23473023587316597
em mim,0.17056437275077063
em pe,-0.21703530652544412
em poucos,0.1777043216808334
em repouso,-0.6731989699181282
em seguida,-0.43812959847907584
emocionalmente,-0.2306304236081292
emocionalmente porem,-0.2306304236081292
encharcado,-0.21264873732882975
encharcado de,-0.21264873732882975
encravada,0.1459746351973535
encravada ja,0.1459746351973535
engolir,0.19730424304416946
engolir normalmente,0.19730424304416946
enjoo,-0.4260374568556939
enjoo apareceu,-0.1347086173745481
enjoo intenso,-0.21046522546636048
enjoo mas,-0.21264873732882975
enjoo so,0.14830755998664152
enjoo suor,-0.11937757209640945
enorme,-0.19942502438264345
enquanto,-0.7993676851791218
enquanto andava,-0.26739442932784413
enquanto eu,-0.2963705581491381
enquanto falo,-0.2164204687978479
enquanto tomava,-0.18925124391044051
enrolado,-0.4764909150338668
enrolado um,-0.4764909150338668
entupido,0.24926809409299805
entupido mas,0.24926809409299805
enxergo,-0.13692980001113778
enxergo durante,-0.13692980001113778
era,0.34979805760593136
era assunto,0.17056437275077063
era azia,-0.10922523388128726
era de,0.22068799436155564
era sobre,0.13549197618302844
escoriacao,0.22068799436155564
escoriacao superficial,0.22068799436155564
escorre,0.17087565544939234
escorre um,0.17087565544939234
